item,itemLabel,startDate,endDate,sourceDate,psid
Q6112631,Jānis Straume,1998-11-03,2002-11-05,,Q6112631-3F3A9020-CE23-4327-803D-0DDE20ADEA1E
Q465499,Ingrīda Ūdre,2002-11-05,2006-11-07,2022-05-28,Q465499-2980C57B-7CCE-48FB-96E3-A6D47CCBCBDE
Q540255,Indulis Emsis,2006-11-07,2007-09-24,2022-05-28,Q540255-A219DBDC-B07B-4447-9E28-771C72967C2D
Q2577102,Gundars Daudze,2007-09-24,2010-11-02,2022-05-28,Q2577102-D9AE3F1A-E18C-4CED-B436-D79DBC097B36
Q435407,Solvita Āboltiņa,2010-11-02,2014-11-04,,Q435407-50459553-9C28-467A-8821-23C6ADBB126E
Q4308133,Ināra Mūrniece,2014-11-04,,,Q4308133-1FB1CA6E-500B-4F62-A5A1-114BF3018164
