wanted,position,positionid,from,start,end
Q2671968,Minister of Welfare,Q16361597,Q11731915,2016-02-11,2019-01-23
Q9368990,Minister of the Economy,Q20557220,Q4392612,2014-11-05,2016-02-11
Q2560770,Minister of the Interior,Q107710591,Q2607084,2011-10-25,2019-01-23
Q2576403,Minister of Justice,Q16361611,Q1491211,2011-10-25,2012-06-21
Q5618600,Minister of Health,Q98966157,Q16356053,2007-01-25,2007-12-20
Q3736499,Minister of the Economy,Q20557220,Q2576403,2006-04-08,2006-11-07
Q471678,Minister of Defence,Q6590375,Q2560770,2006-01-05,2006-04-07
Q4306724,Minister of Justice,Q16361611,Q435407,2004-12-02,2006-11-07
Q1346602,Minister of Foreign Affairs,Q57125919,Q713138,2004-07-21,2007-10-28
Q16360774,Minister of Education and Science,Q16361594,Q11213537,2002-11-07,2004-03-09
Q5618600,Minister of Finance,Q6590389,Q57630,2002-11-07,2004-03-09
Q471678,Governor of the National Bank,Q109496143,Q4993612,2001-12-21,2019-12-20
Q210715,Minister of Agriculture,Q16361623,Q2869357,2000-05-05,2002-11-07
