wanted,position,positionid,from,start,end
Q2607084,Minister of Transport,Q16361608,Q5639367,2013-03-01,2015-11
Q9368990,Minister of the Economy,Q20557220,Q3015072,2011-10-25,2014-01-22
Q16358260,Minister of Health,Q98966157,Q16356053,2007-01-25,2007-12-20
Q2047229,Minister of Justice,Q16361611,Q1491211,2006-11-07,2009-03-12
Q16358642,Minister of the Economy,Q20557220,Q2576403,2006-04-08,2006-11-07
Q471678,Minister of Defence,Q6590375,Q2869357,2004-03-09,2004-12-02
Q16352368,Minister of Education and Science,Q16361594,Q6013198,2004-01-22,2006-04-07
Q1346602,Minister of Foreign Affairs,Q57125919,Q236968,2002-11-07,2004-03-09
