person,personLabel,personDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision,image
Q6111944,Kaspars Gerhards,Latvian economist and politician,Q6581097,male,1969-02-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Andris%20Jaunsleinis%20un%20Kaspars%20Gerhards%2C%202009-06-11.jpg
Q713138,Artis Pabriks,Latvian politician,Q6581097,male,1966-03-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/11.Saeimas%20deput%C4%81ts%20Artis%20Pabriks%20%286276356538%29.jpg
